X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu,geometry,longitude,latitude,arrondissement
652722.494800001,6863278.1173,2334,VITRINE 65,galerie d'art,,,,,,,,,,5 RUE DE SAINTONGE,Commerces de l'art et d'antiquités,POINT (2.3555161682831063 48.8677955029178),2.3555161682831063,48.8677955029178,3.0
652766.507299997,6863280.0909,2335,BLISS STUDIO,galerie d'art,,,,,,,,,,61 RUE DE SAINTONGE,Commerces de l'art et d'antiquités,POINT (2.3561158977928143 48.86781648016491),2.3561158977928143,48.86781648016491,3.0
648626.527599998,6863285.6419,2336,ARY JAN,galerie d'art,,,,,,,,,,12 RUE ROSSINI,Commerces de l'art et d'antiquités,POINT (2.299682115176667 48.867549502865295),2.299682115176667,48.867549502865295,8.0
653017.799699999,6863287.0619,2337,GROUND EFFECT,galerie d'art,,,,,,,,,,20 RUE SAINT-GILLES,Commerces de l'art et d'antiquités,POINT (2.359540579127829 48.86789754783826),2.359540579127829,48.86789754783826,3.0
651351.315200001,6863296.3131,2338,CHRISTIAN COLLIN,galerie d'art,,,,,,,,,,5 PASSAGE DES GRAVILLIERS,Commerces de l'art et d'antiquités,POINT (2.3368231218357347 48.867857029982474),2.3368231218357347,48.867857029982474,2.0
654171.564800002,6863305.6144,2339,KOL YEHOUDA,librairie,spécialisée,religion,judaïsme, , , , , , ,42 RUE DE TOLBIAC,Commerces du livre,POINT (2.375265991985403 48.86814751180257),2.375265991985403,48.86814751180257,11.0
654434.901900001,6863309.0899,2340,LIBRAIRIE AL BOURAQ,librairie,spécialisée,religion,islam, , , , , , ,14 RUE BOULARD,Commerces du livre,POINT (2.378855286611386 48.86819744923566),2.378855286611386,48.86819744923566,11.0
655415.122299999,6863310.8628,2341,GRAND SALON D'ART ABORDABLE,foire d'art,art abordable,,,,,,,,,23 RUE DE SEINE,Commerces de l'art et d'antiquités,POINT (2.3922169593947555 48.868281989646434),2.3922169593947555,48.868281989646434,20.0
652680.524499997,6863311.3813,2342,UNITED WE ART,galerie d'art,,,,,,,,,,6 COUR BÉRARD,Commerces de l'art et d'antiquités,POINT (2.3549403531054205 48.86809155798683),2.3549403531054205,48.86809155798683,3.0
647685.428900003,6863317.026,2343,SALONS DU TROCADERO,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.28684998215758 48.86775598385412),2.28684998215758,48.86775598385412,16.0
