X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu
652101.033100002,6864371.4341,2739,E&C ANTICS PARIS,antiquaire,,,,,,,,,,19 RUE PIERRE GUÉRIN,Commerces de l'art et d'antiquités
652396.781199999,6864372.3685,2740,LA DIMENSION FANTASTIQUE,librairie,spécialisée,bande dessinée, , ,Paris Librairies,Place des Libraires, , , ,5 RUE DUGOMMIER,Commerces du livre
651639.2258,6864384.792,2741,ESTAMPE,galerie d'art,,,,,,,,,,13 RUE DE L'ECHIQUIER,Commerces de l'art et d'antiquités
653437.839000002,6864387.7754,2742,LIBRAIRIE DU CANAL,librairie,généraliste, , ,Librairie Indépendante de Référence,Paris Librairies,Place des Libraires, , , ,15 RUE BOUSSINGAULT,Commerces du livre
669848.196000002,6864393.6748,2743,LIBRAIRIE TOURNONS LES PAGES,librairie,généraliste, , , , , , , , ,54 RUE GEORGES CORETE,Commerces du livre
648139.637199998,6864399.7683,2744,LA MAROTTE,antiquaire,,,,,,,,,,22 AVENUE LEDRU-ROLLIN,Commerces de l'art et d'antiquités
651651.902400002,6864408.2466,2745,EVE,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
652930.092500001,6864410.0841,2746,LA BALUSTRADE,librairie,spécialisée,sciences,SHS, , , , , , ,129 RUE DE CHARENTON,Commerces du livre
651918.330700003,6864415.4706,2747,MAISON BOULLE,antiquaire,,,,,,,,,,88 AVENUE MOZART,Commerces de l'art et d'antiquités
654006.68,6864420.266,2748,LONGTEMPS,librairie,généraliste, , , ,Paris Librairies,Place des Libraires, , , ,,Commerces du livre
651399.307700001,6864422.7537,2749,LA TIBETAINE,antiquaire,,,,,,,,,,78 AVENUE DE SUFFREN,Commerces de l'art et d'antiquités
651413.1369,6864422.7674,2750,VERONIQUE PARROT,antiquaire,,,,,,,,,,78 AVENUE DE SUFFREN,Commerces de l'art et d'antiquités
649941.469300002,6864425.8919,2751,MAISON DE VENTES GOOD,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
649941.497500002,6864425.9014,2752,ART ACTUEL,galerie d'art,,,,,,,,,,22 RUE DE CAUMARTIN,Commerces de l'art et d'antiquités
650118.486000001,6864429.845,2753,AXCIO,galerie d'art,,,,,,,,,,1 CITÉ DE TRÉVISE,Commerces de l'art et d'antiquités
668867.815099999,6864434.4434,2754,ANTIQUAIRE BROCANTEUR ACHAT SUCCESSION DEBARRAS,antiquaire,,,,,,,,,,QUAI DES GRANDS-AUGUSTINS,Commerces de l'art et d'antiquités
639828.972800002,6864434.7265,2755,L'OISEAU LYRE,librairie,spécialisée,jeunesse, , ,Place des Libraires, , , , ,41 AVENUE DE LA RÉPUBLIQUE,Commerces du livre
639910.191,6864443.8892,2756,PILE EN FACE,librairie,spécialisée,jeunesse, , , , , , , ,2 RUE DE LA VARENNE,Commerces du livre
639772.623300001,6864454.5505,2757,AVE - HOTEL DES VENTES AUX ENCHERES DE RUEIL-MALMAISON,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités
650301.027000003,6864457.8038,2758,BOUVIER ET ARIOSO,librairie,spécialisée,musicale, , , , , , , ,122 RUE DU CHEMIN VERT,Commerces du livre
639900.003600001,6864465.7919,2759,DEDICACES,librairie,généraliste, , ,Librairie Indépendante de Référence,Place des Libraires,Libraires en Seine, , , ,4 RUE JEAN GABIN,Commerces du livre
649824.936499998,6864480.1557,2760,BRAME ET LORENCEAU,antiquaire,,,,,,,,,,54 AVENUE DE LA MOTTE-PICQUET,Commerces de l'art et d'antiquités
648259.176200002,6864484.4526,2761,MARCHAL,antiquaire,,,,,,,,,,78 AVENUE DE SUFFREN,Commerces de l'art et d'antiquités
650289.027199998,6864492.7807,2762,LA FLUTE DE PAN,librairie,spécialisée,musicale, , , , , , , ,13-17 PASSAGE DE MÉNILMONTANT,Commerces du livre
651571.1439,6864506.6798,2763,YELLOWKORNER PARIS MARTYRS,galerie d'art,,,,,,,,,,30 RUE DE CHARONNE,Commerces de l'art et d'antiquités
648330.600199997,6864509.4635,2764,ELLIA,galerie d'art,,,,,,,,,,18 RUE DES CASCADES,Commerces de l'art et d'antiquités
653406.7645,6864512.6736,2765,ESPACE PIERRE BALDINI,galerie d'art,,,,,,,,,,140 RUE OBERKAMPF,Commerces de l'art et d'antiquités
650833.444899999,6864513.5508,2766,LA VIE DU RAIL,librairie,spécialisée,technique,ferroviaire, ,Place des Libraires, , , , ,99 AVENUE DE LA RÉPUBLIQUE,Commerces du livre
651364.829599999,6864514.7248,2767,FONDATION TAYLOR,galerie d'art,,,,,,,,,,25 RUE CHANZY,Commerces de l'art et d'antiquités
648204.9833,6864514.8765,2768,YELLOWKORNER PARIS TERNES,galerie d'art,,,,,,,,,,82 RUE DES CASCADES,Commerces de l'art et d'antiquités
653314.443999998,6864525.555,2769,AU FIL DU CANAL,galerie d'art,,,,,,,,,,19 RUE LÉON FROT,Commerces de l'art et d'antiquités
648281.729199998,6864527.0994,2770,FNAC PARIS - TERNES,grande distribution,grande distribution de produits culturels, , , , , , ,,,10 RUE SAINT-ROCH,Commerces du livre
640132.995999999,6864540.3323,2771,L'ART BOUQUINE,librairie,spécialisée,livres d'occasion, , , , , , , ,60 AV DU GENERAL PIERRE BILLOTTE,Commerces du livre
640132.995999999,6864540.3323,2772,L'ART BOUQUINE,galerie d'art,galerie librairie,,,,,,,,,AVENUE GASTON ROUSSEL,Commerces de l'art et d'antiquités
651536.089699998,6864541.9446,2773,AMELIE,galerie d'art,,,,,,,,,,16 RUE DE L'ECHIQUIER,Commerces de l'art et d'antiquités
648732.979599997,6864543.3217,2774,COURCELLES ART CONTEMPORAIN,galerie d'art,,,,,,,,,,58 RUE DES TROIS FRÈRES,Commerces de l'art et d'antiquités
651477.926600002,6864545.2134,2775,HEP GALERIE,galerie d'art,,,,,,,,,,22 RUE EUGÈNE VARLIN,Commerces de l'art et d'antiquités
651515.255500004,6864547.4197,2776,AMELIE,galerie d'art,,,,,,,,,,36 RUE D'ENGHIEN,Commerces de l'art et d'antiquités
